,day,month,year,latitude,longitude,Specie
4201,19,12,2020,-27.0839881667,-48.9136238056,Aedes aegypti  
4202,3,12,2020,20.6735633333,-87.0445861667,Aedes aegypti  
4203,27,8,2020,21.14719,-98.427047,Aedes aegypti  
4204,27,8,2020,21.146573,-98.427273,Aedes aegypti  
4205,27,8,2020,21.14661,-98.427328,Aedes aegypti  
4206,27,8,2020,21.146755,-98.427116,Aedes aegypti  
4207,27,8,2020,21.144094,-98.423709,Aedes aegypti  
4208,27,8,2020,21.144874,-98.422998,Aedes aegypti  
4209,27,8,2020,21.144383,-98.422602,Aedes aegypti  
4210,27,8,2020,21.144953,-98.422251,Aedes aegypti  
4211,27,8,2020,21.144744,-98.42225,Aedes aegypti  
4212,27,8,2020,21.144578,-98.421052,Aedes aegypti  
